CLOSED
Version	1.0
Language	English
Run	1
RunSerial	821
Instrument	TGA Q500 V6.7 Build 203
Module	TGA
InstSerial	0500-0499
Operator	at615
File	C:\TA\Data\TGA\ak794\anders\ZIF8cellulosesponge1.001
FurnaceType	Standard
Sample	ZIF8 cellulose sponge in air 1
Size	5.56500	mg
ProcName
Method	
Comment	
Xcomment	Pan: Platinum
Xcomment	Gas1: Air
Xcomment	Gas2: Air
Xcomment	Balance Gas: Air 40.0 ml/min
Xcomment	Sample Gas: Air 60.0 ml/min
Text	Cellulose sponge and zif8 degradation in air
Kcell	1.00000
TempCal	3	pts	20.00	20.00,364.00	356.00,776.00	770.00
InstCalDate	Weight Date 2013-03-01 10:10:44
Controls	Gas 2  Event Off  Sampling 2.0
Nsig	5
Sig1	Time (min)
Sig2	Temperature (°C)
Sig3	Weight (mg)
Sig4	Balance Purge Flow (mL/min)
Sig5	Sample Purge Flow (mL/min)
AirCoolTime	20.0 min
AutoAnalysis	Off
MacroFile
Date	2013-03-11
Time	13:44:24
4.450000 58.12193 5.499458 39.99794 60.00416
4.483333 58.45250 5.499117 39.99826 59.99490
4.516667 58.78371 5.498730 39.99768 59.99962
4.550000 59.11516 5.498608 40.00342 59.99594
4.583334 59.44668 5.498738 40.00387 60.00298
4.616667 59.77921 5.498533 39.99915 60.01135
4.650000 60.11028 5.498004 40.01250 59.99090
4.683334 60.44307 5.497994 39.99206 60.00620
4.716667 60.77574 5.498180 40.00223 59.98524
4.750000 61.10608 5.497736 40.00082 60.00213
4.783333 61.43882 5.497521 39.99161 60.01228
4.816666 61.77119 5.497226 40.00133 59.99755
4.850000 62.10262 5.497182 40.00642 59.99324
4.883333 62.43444 5.496871 40.00148 60.00754
4.916666 62.76687 5.496557 39.99309 59.99563
4.950000 63.09814 5.496550 40.00787 60.00432
4.983333 63.43086 5.496050 39.99998 60.00085
5.016667 63.76407 5.496353 39.99830 59.99594
5.050000 64.09626 5.496318 39.99334 59.99580
5.083334 64.42957 5.495895 40.00402 60.00489
5.116667 64.76285 5.495722 40.00053 59.99922
5.150000 65.09405 5.495363 39.99363 59.99718
5.183334 65.42628 5.495045 40.00680 60.00651
5.216667 65.75812 5.494992 39.99976 59.99932
5.250000 66.09245 5.494859 39.99498 59.99970
5.283332 66.42450 5.494511 40.00502 59.98831
5.316666 66.75658 5.494143 39.99756 60.01498
5.350000 67.08868 5.494090 39.99838 59.98876
5.383332 67.42296 5.494234 40.00350 60.00533
5.416666 67.75679 5.494186 39.99484 60.00478
5.450000 68.08954 5.493900 40.00022 60.00016
5.483332 68.42188 5.493429 39.99948 59.99312
5.516668 68.75396 5.493038 40.00206 60.00603
5.550000 69.08687 5.492978 40.00045 59.99180
5.583334 69.42224 5.493345 40.00408 60.00842
5.616668 69.75647 5.493277 40.00235 60.00245
5.650000 70.09003 5.493046 39.99980 59.99470
5.683334 70.42274 5.492516 39.99928 60.00344
5.716668 70.75528 5.491894 39.99242 59.99314
5.750000 71.08768 5.491615 39.99782 59.99446
5.783332 71.42068 5.491765 40.00862 60.00630
5.816666 71.75476 5.491734 39.99728 59.99540
5.850000 72.08921 5.491428 39.99667 60.01822
5.883332 72.42155 5.490920 40.00676 59.98364
5.916666 72.75537 5.490856 40.00048 60.00579
5.950000 73.08918 5.491201 39.99172 60.00340
5.983332 73.42490 5.491390 40.00124 59.99887
6.016668 73.75724 5.490746 40.00432 60.00190
6.050000 74.09050 5.490144 40.00466 59.99922
6.083334 74.42369 5.489979 39.98937 60.00090
6.116668 74.75740 5.489998 40.00634 59.99834
6.150000 75.09086 5.489292 40.00302 59.99465
6.183334 75.42194 5.488819 39.99736 59.99966
6.216668 75.75550 5.488899 39.99016 59.99810
6.250000 76.08690 5.488128 40.00300 60.00710
6.283332 76.42072 5.488055 40.01056 60.00515
6.316666 76.75601 5.488256 40.00072 59.98924
6.350000 77.08931 5.488010 39.99305 59.99820
6.383332 77.42221 5.487451 39.99610 59.99989
6.416666 77.75534 5.487190 40.00469 60.01085
6.450000 78.08936 5.487280 39.99584 59.99824
6.483332 78.42362 5.487050 39.99984 59.99672
6.516668 78.75735 5.486688 40.00190 60.00225
6.550000 79.09094 5.486437 40.00392 59.99250
6.583334 79.42494 5.486118 39.99823 60.01006
6.616668 79.75903 5.485848 40.00630 59.99756
6.650000 80.09270 5.485908 39.98404 59.99560
6.683334 80.42656 5.485446 39.99887 60.01050
6.716666 80.76126 5.485489 40.00946 59.98484
6.750000 81.09392 5.484716 39.99387 60.01408
6.783334 81.42786 5.484585 40.01567 59.98776
6.816666 81.76151 5.484468 39.97922 59.99711
6.850000 82.09566 5.484000 40.02146 60.00800
6.883332 82.42892 5.483606 39.99205 59.99490
6.916666 82.76100 5.482919 40.00852 60.00706
6.950000 83.09184 5.482331 39.98015 59.98791
